compound_id,base_rdkit_smiles,relation,standard_value,active
CHEMBL1591190,CN(C)c1ncc2ncc(=O)n(Cc3cccs3)c2n1,,39810.72,1
CHEMBL1599663,Cc1cc(C)n(-c2cc(N3CCN(C(=O)c4cccc(Br)c4)CC3)ccc2[N+](=O)[O-])n1,,5623.41,1
CHEMBL1382227,Cc1ccc(NC(=O)Cn2nc([N+](=O)[O-])c(Br)c2C)cc1C,,14125.38,1
CHEMBL4516287,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,,90.0,1
CHEMBL1335690,COc1ccc(C2Nc3ccccc3C(=O)N2Cc2ccco2)cc1COc1ccc([N+](=O)[O-])cc1,,177.83,1
CHEMBL1209049,CC(C)C(=O)N1C[C@H]2[C@@H](CNc3nc(-c4ccccn4)cs3)[C@H]2C1,,7000.0,1
CHEMBL1605699,Oc1ccc(C(=S)N2CCCCCC2)cc1,,14125.38,1
CHEMBL1684058,CC(N(C)C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,>,25000.0,1
CHEMBL1533413,COC(=O)C[C@@H]1O[C@H]1[C@H](C)[C@@H](OC)C(C)C,,3162.28,1
CHEMBL1500692,CC(CCc1ccccc1)NS(=O)(=O)c1ccccc1,,3981.07,1
CHEMBL2347417,CC(C)(C)NC(=O)c1c[nH]c2ncc(-c3nn(CCCN4CC(C#N)C4)c4ccc(OC(F)F)cc34)nc12,,5000.0,1
CHEMBL1201842,CC[C@H](C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,,31622.78,1
CHEMBL3358920,O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,>,50000.0,1
CHEMBL1498572,O=C(OC1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1)c1cccc(C(F)(F)F)c1,,199.53,1
CHEMBL1369414,CC(C)NC[C@@H](O)COc1ccc(CCOCC2CC2)cc1,,630.96,1
CHEMBL1495077,O=C(c1cnccn1)N1CCC2(CCCN(Cc3nccs3)C2)CC1,,15848.93,1
CHEMBL3963788,Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C(F)F)cc3)c(N)c2c1C,>,30000.0,1
CHEMBL1512413,COCCn1c(=O)c(-c2ccc(F)cc2)nc2cnc(Oc3cccc(Cl)c3)nc21,,2511.89,1
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,,13.0,1
CHEMBL2115265,CC[C@@H](c1ccccc1)c1c(OC)oc2ccccc2c1=O,,100.0,1
CHEMBL2036210,CCC(=O)N(Cc1ccc(C(F)(F)F)cc1)c1cc(F)cc(-c2nnn[nH]2)c1,,280.0,1
CHEMBL4642567,CC(C)CCNC1=CC(=O)c2ccccc2C1=O,,29300.0,1
CHEMBL1223751,CCOc1ccc(OCC(O)CN(C)Cc2c(C)nn(Cc3ccccc3Cl)c2C)cc1,,43000.0,1
CHEMBL1465552,Cc1cccc(NC(=O)c2cc(=O)c3ccccc3o2)n1,,3162.28,1
CHEMBL1916697,COC(=O)N(Cc1ccccc1)Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC,>,30000.0,1
CHEMBL1523670,CCN(CC)S(=O)(=O)c1ccc2c(c1)nc(SCC(=O)N1CCOCC1)n2-c1ccccc1OC,,7943.28,1
CHEMBL3633184,CCOC(=O)N1[C@H]2CC[C@@H]1C[C@@H](CN1CC[C@@H](N3Cc4ccccc4NC3=O)C1)C2,>,2000.0,1
CHEMBL1440742,COc1ccc(N2CCN(C(=O)c3ccc(OCc4c(C)noc4C)c(OC)c3)CC2)cc1,,3548.13,1
CHEMBL1531727,O=C(C[C@@H]1C=Cc2ccccc2N1C(=O)c1ccccc1)c1ccccc1,,2511.89,1
CHEMBL1480087,Cc1ccc(C(=O)COc2ccccc2C(=O)Nc2ccccc2)cc1,,1995.26,1
CHEMBL2207065,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6COC6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,,22.0,1
CHEMBL3706621,CC(C)(c1ncc(-c2ccccn2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,,28000.0,1
CHEMBL522121,COc1ccc(CNc2ncnc3ccc(-c4ccccc4C#N)cc23)c(OC)c1,,794.33,1
CHEMBL1277582,COCCCn1c(CN(C)Cc2ccccc2)c2c(=O)n(-c3ccc(F)cc3Cl)[nH]c2cc1=O,,900.0,1
CHEMBL1329094,O=C(NCc1ccccc1)C12CN(Cc3ccccc3)CC1C(c1cccc([N+](=O)[O-])c1)=NO2,,7943.28,1
CHEMBL1438358,COCCCNC(=O)c1c(NC(=O)c2cccs2)sc2c1CCCC2,,562.34,1
CHEMBL3212049,O=C(N/N=C/c1cccc(OCc2ccccc2)c1)c1cccs1,,2511.89,1
CHEMBL512908,O=C1c2ccccc2-c2cc([N+](=O)[O-])c([N+](=O)[O-])cc21,,1584.89,1
CHEMBL1356485,COc1ncc2nc(-c3ccccc3)c(=O)n(Cc3cccs3)c2n1,,19952.62,1
CHEMBL1323549,O=c1c(-c2cccc(Cl)c2)nc2cncnc2n1Cc1ccccc1,,1258.93,1
CHEMBL1922143,COc1cccc(CNC(=O)c2[nH]c3nc(-c4cn[nH]c4)ccc3c2CN2CCOCC2)c1,,9.0,1
CHEMBL1323118,Cc1nn(-c2ccccc2)c(Cl)c1C(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O,,19952.62,1
CHEMBL1447438,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(C[C@H](O)CO)c3C[C@H]2CN1C(=O)c1ccccc1,,31622.78,1
CHEMBL3394736,O=C(NCc1ccc([S+]([O-])c2cc(F)cc(F)c2)cn1)c1cc2ccncc2o1,,1000.0,1
CHEMBL3211211,COC(=O)c1ccc(/N=C2/S/C(=C\c3cc(C)n(-c4cccnc4)c3C)C(=O)N2C)cc1,,4466.84,1
CHEMBL242613,C[C@@H](C(=O)O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,<,5.0,0
CHEMBL1741332,COc1ccc(CCNC(=O)Cn2c(=O)oc3ccccc32)cc1OC,,2511.89,1
CHEMBL1525560,Cc1ccc(C(=O)N2CCN(c3cc(O)nnc3-c3ccccc3)CC2)cc1,,31622.78,1
CHEMBL1916399,N#Cc1cc(OC(F)(F)F)cc(-c2nc(-c3ccc4c(c3)CCN4C(=O)CCC(=O)O)no2)c1,>,50000.0,1
CHEMBL1521440,COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N(C)C)n(C)c3C[C@H]2CN1C(=O)c1ccccc1,,3162.28,1
CHEMBL407034,Cc1cc(/C=C/C(=O)/C=C/c2cc(C)c(O)c(C)c2)cc(C)c1O,,62800.0,1
CHEMBL514198,COc1ccc(C(NC(=O)CNC(=O)c2ccc(F)cc2)c2ccc(OC)cc2)cc1,>,50000.0,1
CHEMBL4787268,c1cnc2c(Nc3ccc4c(-n5cccn5)nccc4c3)n[nH]c2c1,,7300.0,1
CHEMBL3114730,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@H](CCN(Cc2ccccc2)C(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,>,25000.0,1
CHEMBL1474503,O=C(c1cnccn1)N1CCC2(CC1)CN(c1ccncc1)C2,,25118.86,1
CHEMBL1728064,CC(=O)N1CCC(=O)N(C(C)C)c2ccccc21,,28.18,1
CHEMBL1209617,C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCC3)n2)cc1,>,5000.0,1
