activity_id,mol_chembl_id,compound_name,assay_chembl_id,assay_type,assay_cell_type,assay_organism,pref_name,description,standard_type,standard_relation,standard_value,standard_units,canonical_smiles,doc_chembl_id,title,journal,year,volume,issue,first_page,last_page,doi,pubmed_id,patent_id
5989056,CHEMBL1201039,Benzthiazide,CHEMBL1741325,F,,,Cytochrome P450 2C9,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,=,3981.07,nM,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,CHEMBL1201862,PubChem BioAssay data set,,,,,,,,,
5989057,CHEMBL1486593,SID4243562,CHEMBL1741325,F,,,Cytochrome P450 2C9,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,=,39810.72,nM,O=C(O)c1cccnc1SCc1ccccc1,CHEMBL1201862,PubChem BioAssay data set,,,,,,,,,
5989058,CHEMBL1346226,SID17408266,CHEMBL1741325,F,,,Cytochrome P450 2C9,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,=,1995.26,nM,Cc1ccc2[nH]c(/C(C#N)=C\c3ccc(OC(=O)c4cccs4)cc3)nc2c1,CHEMBL1201862,PubChem BioAssay data set,,,,,,,,,
5989059,CHEMBL1469402,SID14732159,CHEMBL1741325,F,,,Cytochrome P450 2C9,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,=,14125.38,nM,CCOC(=O)Cc1c(C)nc2c(-c3ccccc3)c(-c3ccccc3)nn2c1O,CHEMBL1201862,PubChem BioAssay data set,,,,,,,,,
5989060,CHEMBL1361977,SID4237606,CHEMBL1741325,F,,,Cytochrome P450 2C9,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,=,25118.86,nM,COc1ccc(C(=O)N2CCC3(CCN(Cc4nccs4)CC3)CC2)cc1,CHEMBL1201862,PubChem BioAssay data set,,,,,,,,,
5989061,CHEMBL1526824,SID17415322,CHEMBL1741325,F,,,Cytochrome P450 2C9,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,=,8912.51,nM,CCOC(=O)COc1cc(OCC(=O)OCC)c2c(=O)cc(-c3ccccc3)oc2c1,CHEMBL1201862,PubChem BioAssay data set,,,,,,,,,
5989062,CHEMBL1509858,SID4245095,CHEMBL1741325,F,,,Cytochrome P450 2C9,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,=,22387.21,nM,COC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CCOCC1,CHEMBL1201862,PubChem BioAssay data set,,,,,,,,,
5989063,CHEMBL1369208,SID4252922,CHEMBL1741325,F,,,Cytochrome P450 2C9,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,=,3162.28,nM,C=C(C)CNCC(=C)C.Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CHEMBL1201862,PubChem BioAssay data set,,,,,,,,,
5989064,CHEMBL1363185,SID17410389,CHEMBL1741325,F,,,Cytochrome P450 2C9,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,=,15848.93,nM,CC(C)Nc1nc(Oc2ccc(Cl)cc2)cc(C(F)(F)F)n1,CHEMBL1201862,PubChem BioAssay data set,,,,,,,,,
5989065,CHEMBL1461359,SID17387829,CHEMBL1741325,F,,,Cytochrome P450 2C9,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,AC50,=,12589.25,nM,COc1ccc(C(=O)NC(C)c2cc(OC)c(OC)cc2Br)cc1,CHEMBL1201862,PubChem BioAssay data set,,,,,,,,,
