activity_id,mol_chembl_id,compound_name,assay_chembl_id,assay_type,assay_cell_type,assay_organism,pref_name,description,standard_type,standard_relation,standard_value,standard_units,canonical_smiles,doc_chembl_id,title,journal,year,volume,issue,first_page,last_page,doi,pubmed_id,patent_id
15448377,CHEMBL3526290,5-(3-(1-naphthoyl)-1H-indol-1-yl)pentanoic acid,CHEMBL3540907,A,,Homo sapiens,Cytochrome P450 2C9,Drug metabolism assessed as intrinsic clearance for human recombinant CYP2C9-mediated compound formation per nmol protein treated with AM2201 at 10 uM after 90 mins,CL,=,111.0,uL/min,O=C(O)CCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,CHEMBL3526105,Cytochrome P450-mediated oxidative metabolism of abused synthetic cannabinoids found in K2/Spice: identification of novel cannabinoid receptor ligands.,Drug Metab. Dispos.,2012,40,11,2174,2184,10.1124/dmd.112.047530,22904561,
15448378,CHEMBL3526177,(1-(5-hydroxypentyl)-1H-indol-3-yl)(naphthalen-1-yl)methanone,CHEMBL3540907,A,,Homo sapiens,Cytochrome P450 2C9,Drug metabolism assessed as intrinsic clearance for human recombinant CYP2C9-mediated compound formation per nmol protein treated with AM2201 at 10 uM after 90 mins,CL,=,63.0,uL/min,O=C(c1cccc2ccccc12)c1cn(CCCCCO)c2ccccc12,CHEMBL3526105,Cytochrome P450-mediated oxidative metabolism of abused synthetic cannabinoids found in K2/Spice: identification of novel cannabinoid receptor ligands.,Drug Metab. Dispos.,2012,40,11,2174,2184,10.1124/dmd.112.047530,22904561,
15448420,CHEMBL3527147,(1-(5-fluoro-4-hydroxypentyl)-1H-indol-3-yl)(naphthalen-1-yl)methanone,CHEMBL3540907,A,,Homo sapiens,Cytochrome P450 2C9,Drug metabolism assessed as intrinsic clearance for human recombinant CYP2C9-mediated compound formation per nmol protein treated with AM2201 at 10 uM after 90 mins,CL,=,63.0,uL/min,O=C(c1cccc2ccccc12)c1cn(CCCC(O)CF)c2ccccc12,CHEMBL3526105,Cytochrome P450-mediated oxidative metabolism of abused synthetic cannabinoids found in K2/Spice: identification of novel cannabinoid receptor ligands.,Drug Metab. Dispos.,2012,40,11,2174,2184,10.1124/dmd.112.047530,22904561,
15448428,CHEMBL3526291,(1-(4-hydroxypentyl)-1H-indol-3-yl)(naphthalen-1-yl)methanone,CHEMBL3540905,A,,Homo sapiens,Cytochrome P450 2C9,Drug metabolism assessed as intrinsic clearance for human recombinant CYP2C9-mediated compound formation per nmol protein treated with JWH-018 at 10 uM after 90 mins,CL,=,375.0,uL/min,CC(O)CCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,CHEMBL3526105,Cytochrome P450-mediated oxidative metabolism of abused synthetic cannabinoids found in K2/Spice: identification of novel cannabinoid receptor ligands.,Drug Metab. Dispos.,2012,40,11,2174,2184,10.1124/dmd.112.047530,22904561,
15448429,CHEMBL3526290,5-(3-(1-naphthoyl)-1H-indol-1-yl)pentanoic acid,CHEMBL3540905,A,,Homo sapiens,Cytochrome P450 2C9,Drug metabolism assessed as intrinsic clearance for human recombinant CYP2C9-mediated compound formation per nmol protein treated with JWH-018 at 10 uM after 90 mins,CL,=,0.0,uL/min,O=C(O)CCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,CHEMBL3526105,Cytochrome P450-mediated oxidative metabolism of abused synthetic cannabinoids found in K2/Spice: identification of novel cannabinoid receptor ligands.,Drug Metab. Dispos.,2012,40,11,2174,2184,10.1124/dmd.112.047530,22904561,
15448430,CHEMBL3526177,(1-(5-hydroxypentyl)-1H-indol-3-yl)(naphthalen-1-yl)methanone,CHEMBL3540905,A,,Homo sapiens,Cytochrome P450 2C9,Drug metabolism assessed as intrinsic clearance for human recombinant CYP2C9-mediated compound formation per nmol protein treated with JWH-018 at 10 uM after 90 mins,CL,=,1035.0,uL/min,O=C(c1cccc2ccccc12)c1cn(CCCCCO)c2ccccc12,CHEMBL3526105,Cytochrome P450-mediated oxidative metabolism of abused synthetic cannabinoids found in K2/Spice: identification of novel cannabinoid receptor ligands.,Drug Metab. Dispos.,2012,40,11,2174,2184,10.1124/dmd.112.047530,22904561,
15466079,CHEMBL3542265,"isopropyl N-[(2S)-7-cyano-4-(2-pyridylmethyl)-2,3-dihydro-1H-cyclopenta[b]indol-2-yl]carbamate",CHEMBL3530997,A,,Homo sapiens,Cytochrome P450 2C9,Intrinsic clearance assessed as human recombinant CYP2C9-mediated drug depletion per pmol protein by LC-MS/MS method,CL,=,0.1,uL/min,CC(C)OC(=O)N[C@H]1Cc2c(n(Cc3ccccn3)c3ccc(C#N)cc23)C1,CHEMBL3525964,"Disposition and metabolism of LY2452473, a selective androgen receptor modulator, in humans.",Drug Metab. Dispos.,2012,40,12,2354,2364,10.1124/dmd.112.047613,22961682,
15466084,CHEMBL3542265,"isopropyl N-[(2S)-7-cyano-4-(2-pyridylmethyl)-2,3-dihydro-1H-cyclopenta[b]indol-2-yl]carbamate",CHEMBL3531002,A,,Homo sapiens,Cytochrome P450 2C9,Normalized intrinsic clearance assessed as human recombinant CYP2C9-mediated drug depletion per pmol protein by LC-MS/MS method,CL,=,10.0,uL/min,CC(C)OC(=O)N[C@H]1Cc2c(n(Cc3ccccn3)c3ccc(C#N)cc23)C1,CHEMBL3525964,"Disposition and metabolism of LY2452473, a selective androgen receptor modulator, in humans.",Drug Metab. Dispos.,2012,40,12,2354,2364,10.1124/dmd.112.047613,22961682,
15469071,CHEMBL1200681,SID56320471,CHEMBL3542032,A,,Homo sapiens,Cytochrome P450 2C9,"Activity of recombinant human CYP2C9 expressed in microsomes isolated from baculovirus infected insect cell assessed as intrinsic clearance for enzyme-mediated 2-(1-(((1R)-1-(3-(2-(7-chloroquinolin-2-yl)vinyl)phenyl)-3-(2-(1,2-dihydroxypropan-2-yl)phenyl)propylthio)methyl)cyclopropyl)acetic acid formation by measuring Vmax/Km at 0.02 uM after 10 mins",CL,=,0.48,ml/min/nmol,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+],CHEMBL3525951,Reevaluation of the microsomal metabolism of montelukast: major contribution by CYP2C8 at clinically relevant concentrations.,Drug Metab. Dispos.,2011,39,5,904,911,10.1124/dmd.110.037689,21289076,
15470690,CHEMBL139,"[2-(2,6-Dichloro-phenylamino)-phenyl]-acetic acid",CHEMBL3538993,A,,Homo sapiens,Cytochrome P450 2C9,Drug metabolism in assessed as human CYP2C9-mediated intrinsic clearance per mg protein,CL,=,0.13,mL.min-1.g-1,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,CHEMBL3526124,Optimized experimental design for the estimation of enzyme kinetic parameters: an experimental evaluation.,Drug Metab. Dispos.,2012,40,12,2273,2279,10.1124/dmd.112.047373,22942316,
