activity_id,mol_chembl_id,compound_name,assay_chembl_id,assay_type,assay_cell_type,assay_organism,pref_name,description,standard_type,standard_relation,standard_value,standard_units,canonical_smiles,doc_chembl_id,title,journal,year,volume,issue,first_page,last_page,doi,pubmed_id,patent_id
2399954,CHEMBL487965,"S-2-(6-(1,4-dihydrobenzo[d][1,2]dioxine-6-sulfonamido)pyridin-3-yl)-2-oxoethyl ethanethioate",CHEMBL943377,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9,EC50,=,10000.0,nM,CC(=O)SCC(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)COOC3)nc1,CHEMBL1152294,Identification of KD5170: a novel mercaptoketone-based histone deacetylase inhibitor.,Bioorg. Med. Chem. Lett.,2008,18,23,6093,6096,10.1016/j.bmcl.2008.10.029,18954983,
2399962,CHEMBL520237,S-2-(6-(4-(3-(dimethylamino)propoxy)phenylsulfonamido)pyridin-3-yl)-2-oxoethyl ethanethioate hydrobromide,CHEMBL943377,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9,EC50,>,50000.0,nM,Br.CC(=O)SCC(=O)c1ccc(NS(=O)(=O)c2ccc(OCCCN(C)C)cc2)nc1,CHEMBL1152294,Identification of KD5170: a novel mercaptoketone-based histone deacetylase inhibitor.,Bioorg. Med. Chem. Lett.,2008,18,23,6093,6096,10.1016/j.bmcl.2008.10.029,18954983,
2528821,CHEMBL522771,"N-(3-Chlorophenyl)-N-((8-fluoro-2-oxo-1,2-dihydroquinolin-4-yl)methyl)-4-methylthiazole-5-carboxamide",CHEMBL1003697,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9,EC50,=,33000.0,nM,Cc1ncsc1C(=O)N(Cc1cc(=O)[nH]c2c(F)cccc12)c1cccc(Cl)c1,CHEMBL1138485,"Discovery of inducible nitric oxide synthase (iNOS) inhibitor development candidate KD7332, part 1: Identification of a novel, potent, and selective series of quinolinone iNOS dimerization inhibitors that are orally active in rodent pain models.",J. Med. Chem.,2009,52,9,3047,3062,10.1021/jm900173b,19374401,
2528843,CHEMBL524109,"4-((N-(3-Chlorophenyl)-4-methylthiazole-5-carboxamido)methyl)-7,8-difluoroisoquinoline-2-Oxide",CHEMBL1003697,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9,EC50,=,55000.0,nM,Cc1ncsc1C(=O)N(Cc1c[n+]([O-])cc2c(F)c(F)ccc12)c1cccc(Cl)c1,CHEMBL1138485,"Discovery of inducible nitric oxide synthase (iNOS) inhibitor development candidate KD7332, part 1: Identification of a novel, potent, and selective series of quinolinone iNOS dimerization inhibitors that are orally active in rodent pain models.",J. Med. Chem.,2009,52,9,3047,3062,10.1021/jm900173b,19374401,
2528844,CHEMBL491923,"N-(3-Chlorophenyl)-N-((7,8-difluoro-2-oxo-1,2-dihydroquinolin-4-yl)methyl)-1-methyl-1H-imidazole-5-carboxamide",CHEMBL1003697,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9,EC50,=,25000.0,nM,Cn1cncc1C(=O)N(Cc1cc(=O)[nH]c2c(F)c(F)ccc12)c1cccc(Cl)c1,CHEMBL1138485,"Discovery of inducible nitric oxide synthase (iNOS) inhibitor development candidate KD7332, part 1: Identification of a novel, potent, and selective series of quinolinone iNOS dimerization inhibitors that are orally active in rodent pain models.",J. Med. Chem.,2009,52,9,3047,3062,10.1021/jm900173b,19374401,
2528846,CHEMBL489724,"N-(3-Chlorophenyl)-N-((7,8-difluoro-2-oxo-1,2-dihydroquinolin-4-yl)methyl)-4-methylthiazole-5-carboxamide",CHEMBL1003697,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9,EC50,=,22000.0,nM,Cc1ncsc1C(=O)N(Cc1cc(=O)[nH]c2c(F)c(F)ccc12)c1cccc(Cl)c1,CHEMBL1138485,"Discovery of inducible nitric oxide synthase (iNOS) inhibitor development candidate KD7332, part 1: Identification of a novel, potent, and selective series of quinolinone iNOS dimerization inhibitors that are orally active in rodent pain models.",J. Med. Chem.,2009,52,9,3047,3062,10.1021/jm900173b,19374401,
6222834,CHEMBL1784702,Methyl 4-methyl-3-(4-methylphenylsulfonamido)benzoate,CHEMBL1785940,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9 after 30 mins by luminescence assay,EC50,=,1584.89,nM,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc(C)cc2)c1,CHEMBL1781901,Toluidinesulfonamide hypoxia-induced factor 1 inhibitors: alleviating drug-drug interactions through use of PubChem data and comparative molecular field analysis guided synthesis.,J. Med. Chem.,2011,54,11,3982,3986,10.1021/jm200272h,21574568,
6222835,CHEMBL1386228,SID7975488,CHEMBL1785940,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9 after 30 mins by luminescence assay,EC50,=,3981.07,nM,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc(OC)cc2)c1,CHEMBL1781901,Toluidinesulfonamide hypoxia-induced factor 1 inhibitors: alleviating drug-drug interactions through use of PubChem data and comparative molecular field analysis guided synthesis.,J. Med. Chem.,2011,54,11,3982,3986,10.1021/jm200272h,21574568,
6222836,CHEMBL1450745,SID14739810,CHEMBL1785940,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9 after 30 mins by luminescence assay,EC50,=,2511.89,nM,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc(OC)c(OC)c2)c1,CHEMBL1781901,Toluidinesulfonamide hypoxia-induced factor 1 inhibitors: alleviating drug-drug interactions through use of PubChem data and comparative molecular field analysis guided synthesis.,J. Med. Chem.,2011,54,11,3982,3986,10.1021/jm200272h,21574568,
6222837,CHEMBL1319809,SID7975931,CHEMBL1785940,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9 after 30 mins by luminescence assay,EC50,=,251.19,nM,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc(NC(C)=O)cc2)c1,CHEMBL1781901,Toluidinesulfonamide hypoxia-induced factor 1 inhibitors: alleviating drug-drug interactions through use of PubChem data and comparative molecular field analysis guided synthesis.,J. Med. Chem.,2011,54,11,3982,3986,10.1021/jm200272h,21574568,
6222838,CHEMBL1784698,Methyl 4-methoxy-3-(4-methoxyphenylsulfonamido)benzoate,CHEMBL1785940,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9 after 30 mins by luminescence assay,EC50,=,39810.72,nM,COC(=O)c1ccc(OC)c(NS(=O)(=O)c2ccc(OC)cc2)c1,CHEMBL1781901,Toluidinesulfonamide hypoxia-induced factor 1 inhibitors: alleviating drug-drug interactions through use of PubChem data and comparative molecular field analysis guided synthesis.,J. Med. Chem.,2011,54,11,3982,3986,10.1021/jm200272h,21574568,
6222839,CHEMBL1784699,"Methyl 3-(N,4-dimethylphenylsulfonamido)-4-methylbenzoate",CHEMBL1785940,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9 after 30 mins by luminescence assay,EC50,=,15848.93,nM,COC(=O)c1ccc(C)c(N(C)S(=O)(=O)c2ccc(C)cc2)c1,CHEMBL1781901,Toluidinesulfonamide hypoxia-induced factor 1 inhibitors: alleviating drug-drug interactions through use of PubChem data and comparative molecular field analysis guided synthesis.,J. Med. Chem.,2011,54,11,3982,3986,10.1021/jm200272h,21574568,
6222840,CHEMBL1784700,Methyl 3-(4-methoxy-N-methylphenylsulfonamido)-4-methylbenzoate,CHEMBL1785940,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9 after 30 mins by luminescence assay,EC50,=,25118.86,nM,COC(=O)c1ccc(C)c(N(C)S(=O)(=O)c2ccc(OC)cc2)c1,CHEMBL1781901,Toluidinesulfonamide hypoxia-induced factor 1 inhibitors: alleviating drug-drug interactions through use of PubChem data and comparative molecular field analysis guided synthesis.,J. Med. Chem.,2011,54,11,3982,3986,10.1021/jm200272h,21574568,
6222841,CHEMBL1784701,"Methyl 4-tosyl-3,4-dihydro-2H-benzo[b][1,4]oxazine-6-carboxylate",CHEMBL1785940,A,,,Cytochrome P450 2C9,Inhibition of CYP2C9 after 30 mins by luminescence assay,EC50,=,3981.07,nM,COC(=O)c1ccc2c(c1)N(S(=O)(=O)c1ccc(C)cc1)CCO2,CHEMBL1781901,Toluidinesulfonamide hypoxia-induced factor 1 inhibitors: alleviating drug-drug interactions through use of PubChem data and comparative molecular field analysis guided synthesis.,J. Med. Chem.,2011,54,11,3982,3986,10.1021/jm200272h,21574568,
6271870,CHEMBL1801506,"7,8-Difluoro-4-((2-isobutyl-1H-imidazo[4,5-b]pyrazin-1-yl)-methyl)quinolin-2(1H)-one",CHEMBL1805940,A,,Homo sapiens,Cytochrome P450 2C9,Inhibition of human CYP2C9,EC50,=,29000.0,nM,CC(C)Cc1nc2nccnc2n1Cc1cc(=O)[nH]c2c(F)c(F)ccc12,CHEMBL1800057,"Discovery of dual inducible/neuronal nitric oxide synthase (iNOS/nNOS) inhibitor development candidate 4-((2-cyclobutyl-1H-imidazo[4,5-b]pyrazin-1-yl)methyl)-7,8-difluoroquinolin-2(1H)-one (KD7332) part 2: identification of a novel, potent, and selective series of benzimidazole-quinolinone iNOS/nNOS dimerization inhibitors that are orally active in pain models.",J. Med. Chem.,2010,53,21,7739,7755,10.1021/jm100828n,20931971,
6271871,CHEMBL1801062,"4-((2-(3,3-Difluorocyclobutyl)-1H-imidazo[4,5-b]pyrazin-1-yl)-methyl)-8-fluoroquinolin-2(1H)-one",CHEMBL1805940,A,,Homo sapiens,Cytochrome P450 2C9,Inhibition of human CYP2C9,EC50,=,22000.0,nM,O=c1cc(Cn2c(C3CC(F)(F)C3)nc3nccnc32)c2cccc(F)c2[nH]1,CHEMBL1800057,"Discovery of dual inducible/neuronal nitric oxide synthase (iNOS/nNOS) inhibitor development candidate 4-((2-cyclobutyl-1H-imidazo[4,5-b]pyrazin-1-yl)methyl)-7,8-difluoroquinolin-2(1H)-one (KD7332) part 2: identification of a novel, potent, and selective series of benzimidazole-quinolinone iNOS/nNOS dimerization inhibitors that are orally active in pain models.",J. Med. Chem.,2010,53,21,7739,7755,10.1021/jm100828n,20931971,
