activity_id,mol_chembl_id,compound_name,assay_chembl_id,assay_type,assay_cell_type,assay_organism,pref_name,description,standard_type,standard_relation,standard_value,standard_units,canonical_smiles,doc_chembl_id,title,journal,year,volume,issue,first_page,last_page,doi,pubmed_id,patent_id
31876,CHEMBL152968,N-Biphenyl-3-yl-2-{4-[(R)-2-hydroxy-3-(2-methyl-benzothiazol-5-yloxy)-propyl]-piperazin-1-yl}-acetamide,CHEMBL660388,A,,Cavia porcellus,Cytochrome P450 2C9,Inhibition of cytochrome P450 2C9 of isolated guinea pig heart,IC50,=,24000.0,nM,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,CHEMBL1148425,New fatty acid oxidation inhibitors with increased potency lacking adverse metabolic and electrophysiological properties.,Bioorg. Med. Chem. Lett.,2004.0,14,2,549,552,10.1016/j.bmcl.2003.09.093,14698201.0,
45775,CHEMBL292759,4-Bromo-N-[4-methoxy-3-(4-methyl-piperazin-1-yl)-phenyl]-benzenesulfonamide,CHEMBL666252,A,,Homo sapiens,Cytochrome P450 2C9,Inhibitory potential of human cytochrome P450 2C9 as Tolbutamide methylhydroxylation (100 uM),IC50,>,100000.0,nM,COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,CHEMBL1132410,"5-Chloro-N-(4-methoxy-3-piperazin-1-yl- phenyl)-3-methyl-2-benzothiophenesulfon- amide (SB-271046): a potent, selective, and orally bioavailable 5-HT6 receptor antagonist.",J. Med. Chem.,1999.0,42,2,202,205,10.1021/jm980532e,9925723.0,
60245,CHEMBL153741,N-Biphenyl-4-yl-2-{4-[(R)-2-hydroxy-3-(2-methyl-benzothiazol-5-yloxy)-propyl]-piperazin-1-yl}-acetamide,CHEMBL660388,A,,Cavia porcellus,Cytochrome P450 2C9,Inhibition of cytochrome P450 2C9 of isolated guinea pig heart,IC50,=,30000.0,nM,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(-c5ccccc5)cc4)CC3)ccc2s1,CHEMBL1148425,New fatty acid oxidation inhibitors with increased potency lacking adverse metabolic and electrophysiological properties.,Bioorg. Med. Chem. Lett.,2004.0,14,2,549,552,10.1016/j.bmcl.2003.09.093,14698201.0,
61667,CHEMBL150614,N-(9-Ethyl-9H-carbazol-3-yl)-2-{4-[(R)-2-hydroxy-3-(2-methyl-benzothiazol-5-yloxy)-propyl]-piperazin-1-yl}-acetamide,CHEMBL660388,A,,Cavia porcellus,Cytochrome P450 2C9,Inhibition of cytochrome P450 2C9 of isolated guinea pig heart,IC50,>,100000.0,nM,CCn1c2ccccc2c2cc(NC(=O)CN3CCN(C[C@@H](O)COc4ccc5sc(C)nc5c4)CC3)ccc21,CHEMBL1148425,New fatty acid oxidation inhibitors with increased potency lacking adverse metabolic and electrophysiological properties.,Bioorg. Med. Chem. Lett.,2004.0,14,2,549,552,10.1016/j.bmcl.2003.09.093,14698201.0,
62459,CHEMBL542139,5-Chloro-3-methyl-benzo[b]thiophene-2-sulfonic acid (4-methoxy-3-piperazin-1-yl-phenyl)-amide hydrochloride,CHEMBL666252,A,,Homo sapiens,Cytochrome P450 2C9,Inhibitory potential of human cytochrome P450 2C9 as Tolbutamide methylhydroxylation (100 uM),IC50,>,100000.0,nM,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,CHEMBL1132410,"5-Chloro-N-(4-methoxy-3-piperazin-1-yl- phenyl)-3-methyl-2-benzothiophenesulfon- amide (SB-271046): a potent, selective, and orally bioavailable 5-HT6 receptor antagonist.",J. Med. Chem.,1999.0,42,2,202,205,10.1021/jm980532e,9925723.0,
64287,CHEMBL154751,"N-(2,6-Dimethyl-phenyl)-2-{4-[(R)-2-hydroxy-3-(2-methyl-benzothiazol-5-yloxy)-propyl]-piperazin-1-yl}-acetamide",CHEMBL660388,A,,Cavia porcellus,Cytochrome P450 2C9,Inhibition of cytochrome P450 2C9 of isolated guinea pig heart,IC50,>,100000.0,nM,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4c(C)cccc4C)CC3)ccc2s1,CHEMBL1148425,New fatty acid oxidation inhibitors with increased potency lacking adverse metabolic and electrophysiological properties.,Bioorg. Med. Chem. Lett.,2004.0,14,2,549,552,10.1016/j.bmcl.2003.09.093,14698201.0,
66436,CHEMBL168471,2-(4-Fluoro-benzenesulfonylamino)-N-(1-formyl-3-methyl-butyl)-3-methyl-butyramide,CHEMBL661231,A,,,Cytochrome P450 2C9,Inhibition of Cytochrome P450 2C9,IC50,=,492000.0,nM,CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,CHEMBL1145779,Structure-activity relationship study and drug profile of N-(4-fluorophenylsulfonyl)-L-valyl-L-leucinal (SJA6017) as a potent calpain inhibitor.,J. Med. Chem.,2003.0,46,5,868,871,10.1021/jm0201924,12593666.0,
76630,CHEMBL3706623,"(S)-1-[(S)-2-Hydroxy-4-((R)-(S)-3-hydroxy-3,4,4a,8a-tetrahydro-2H-chromen-4-ylcarbamoyl)-5-phenyl-pentyl]-4-(5-pyridin-3-yl-furan-2-ylmethyl)-piperazine-2-carboxylic acid (2,2,2-trifluoro-ethyl)-amide",CHEMBL660395,A,,Homo sapiens,Cytochrome P450 2C9,In vitro inhibition of human liver microsome Cytochrome P450 2C9,IC50,>,30000.0,nM,O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccc(-c3cccnc3)o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,CHEMBL1136138,HIV protease inhibitors with picomolar potency against PI-Resistant HIV-1 by extension of the P3 substituent.,Bioorg. Med. Chem. Lett.,2003.0,13,15,2569,2572,10.1016/s0960-894x(03)00475-x,12852968.0,
82258,CHEMBL115,"(S)-1-[(2S,4R)-2-Hydroxy-4-((1S,2R)-2-hydroxy-indan-1-ylcarbamoyl)-5-phenyl-pentyl]-4-pyridin-3-ylmethyl-piperazine-2-carboxylic acid tert-butylamide",CHEMBL660395,A,,Homo sapiens,Cytochrome P450 2C9,In vitro inhibition of human liver microsome Cytochrome P450 2C9,IC50,>,30000.0,nM,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CHEMBL1136138,HIV protease inhibitors with picomolar potency against PI-Resistant HIV-1 by extension of the P3 substituent.,Bioorg. Med. Chem. Lett.,2003.0,13,15,2569,2572,10.1016/s0960-894x(03)00475-x,12852968.0,
85318,CHEMBL3706619,"(S)-1-[(S)-2-Hydroxy-4-((R)-(S)-3-hydroxy-3,4,4a,8a-tetrahydro-2H-chromen-4-ylcarbamoyl)-5-phenyl-pentyl]-4-(5-pyridin-2-yl-furan-2-ylmethyl)-piperazine-2-carboxylic acid (2,2,2-trifluoro-ethyl)-amide",CHEMBL660395,A,,Homo sapiens,Cytochrome P450 2C9,In vitro inhibition of human liver microsome Cytochrome P450 2C9,IC50,>,30000.0,nM,O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccc(-c3ccccn3)o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,CHEMBL1136138,HIV protease inhibitors with picomolar potency against PI-Resistant HIV-1 by extension of the P3 substituent.,Bioorg. Med. Chem. Lett.,2003.0,13,15,2569,2572,10.1016/s0960-894x(03)00475-x,12852968.0,
