activity_id,mol_chembl_id,compound_name,assay_chembl_id,assay_type,assay_cell_type,assay_organism,pref_name,description,standard_type,standard_relation,standard_value,standard_units,canonical_smiles,doc_chembl_id,title,journal,year,volume,issue,first_page,last_page,doi,pubmed_id,patent_id
111517,CHEMBL71472,"Ethyl-sulfamic acid 5-tert-butyl-4-{4-hydroxy-6-[2-(4-hydroxy-phenyl)-ethyl]-6-methyl-2-oxo-5,6-dihydro-2H-pyran-3-ylsulfanyl}-2-methyl-phenyl ester",CHEMBL660952,A,,,Cytochrome P450 2C9,Inhibition of Cytochrome P450 2C9 at 1 uM,Inhibition,=,0.0,%,CCNS(=O)(=O)Oc1cc(C(C)(C)C)c(SC2=C(O)OC(C)(CCc3ccc(O)cc3)CC2=O)cc1C,CHEMBL1131822,"Nonpeptidic HIV protease inhibitors: 6-alkyl-5,6-dihydropyran-2-ones possessing a novel and achiral 3-(2-t-butyl-5-methyl-4-sulfamate)phenylthio moiety.",Bioorg. Med. Chem. Lett.,1999.0,9,15,2217,2222,10.1016/s0960-894x(99)00360-1,10465549.0,
111518,CHEMBL71472,"Ethyl-sulfamic acid 5-tert-butyl-4-{4-hydroxy-6-[2-(4-hydroxy-phenyl)-ethyl]-6-methyl-2-oxo-5,6-dihydro-2H-pyran-3-ylsulfanyl}-2-methyl-phenyl ester",CHEMBL660951,A,,,Cytochrome P450 2C9,Inhibition of Cytochrome P450 2C9 at 10 uM,Inhibition,=,6.0,%,CCNS(=O)(=O)Oc1cc(C(C)(C)C)c(SC2=C(O)OC(C)(CCc3ccc(O)cc3)CC2=O)cc1C,CHEMBL1131822,"Nonpeptidic HIV protease inhibitors: 6-alkyl-5,6-dihydropyran-2-ones possessing a novel and achiral 3-(2-t-butyl-5-methyl-4-sulfamate)phenylthio moiety.",Bioorg. Med. Chem. Lett.,1999.0,9,15,2217,2222,10.1016/s0960-894x(99)00360-1,10465549.0,
111519,CHEMBL71472,"Ethyl-sulfamic acid 5-tert-butyl-4-{4-hydroxy-6-[2-(4-hydroxy-phenyl)-ethyl]-6-methyl-2-oxo-5,6-dihydro-2H-pyran-3-ylsulfanyl}-2-methyl-phenyl ester",CHEMBL660950,A,,,Cytochrome P450 2C9,Inhibition of Cytochrome P450 2C9 at 100 uM,Inhibition,=,46.0,%,CCNS(=O)(=O)Oc1cc(C(C)(C)C)c(SC2=C(O)OC(C)(CCc3ccc(O)cc3)CC2=O)cc1C,CHEMBL1131822,"Nonpeptidic HIV protease inhibitors: 6-alkyl-5,6-dihydropyran-2-ones possessing a novel and achiral 3-(2-t-butyl-5-methyl-4-sulfamate)phenylthio moiety.",Bioorg. Med. Chem. Lett.,1999.0,9,15,2217,2222,10.1016/s0960-894x(99)00360-1,10465549.0,
136755,CHEMBL285759,"(S)-6-[2-(4-Amino-phenyl)-ethyl]-3-(2-tert-butyl-4-hydroxymethyl-5-methyl-phenylsulfanyl)-4-hydroxy-6-isopropyl-5,6-dihydro-pyran-2-one",CHEMBL660952,A,,,Cytochrome P450 2C9,Inhibition of Cytochrome P450 2C9 at 1 uM,Inhibition,=,2.0,%,Cc1cc(SC2=C(O)O[C@](CCc3ccc(N)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1CO,CHEMBL1131822,"Nonpeptidic HIV protease inhibitors: 6-alkyl-5,6-dihydropyran-2-ones possessing a novel and achiral 3-(2-t-butyl-5-methyl-4-sulfamate)phenylthio moiety.",Bioorg. Med. Chem. Lett.,1999.0,9,15,2217,2222,10.1016/s0960-894x(99)00360-1,10465549.0,
136756,CHEMBL285759,"(S)-6-[2-(4-Amino-phenyl)-ethyl]-3-(2-tert-butyl-4-hydroxymethyl-5-methyl-phenylsulfanyl)-4-hydroxy-6-isopropyl-5,6-dihydro-pyran-2-one",CHEMBL660948,A,,,Cytochrome P450 2C9,Inhibition of Cytochrome P450 2C9 at 10 uM,Inhibition,=,12.0,%,Cc1cc(SC2=C(O)O[C@](CCc3ccc(N)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1CO,CHEMBL1131822,"Nonpeptidic HIV protease inhibitors: 6-alkyl-5,6-dihydropyran-2-ones possessing a novel and achiral 3-(2-t-butyl-5-methyl-4-sulfamate)phenylthio moiety.",Bioorg. Med. Chem. Lett.,1999.0,9,15,2217,2222,10.1016/s0960-894x(99)00360-1,10465549.0,
136757,CHEMBL285759,"(S)-6-[2-(4-Amino-phenyl)-ethyl]-3-(2-tert-butyl-4-hydroxymethyl-5-methyl-phenylsulfanyl)-4-hydroxy-6-isopropyl-5,6-dihydro-pyran-2-one",CHEMBL660949,A,,,Cytochrome P450 2C9,Inhibition of Cytochrome P450 2C9 at 100 uM,Inhibition,=,59.0,%,Cc1cc(SC2=C(O)O[C@](CCc3ccc(N)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1CO,CHEMBL1131822,"Nonpeptidic HIV protease inhibitors: 6-alkyl-5,6-dihydropyran-2-ones possessing a novel and achiral 3-(2-t-butyl-5-methyl-4-sulfamate)phenylthio moiety.",Bioorg. Med. Chem. Lett.,1999.0,9,15,2217,2222,10.1016/s0960-894x(99)00360-1,10465549.0,
395199,CHEMBL2114404,"3-(4-Amino-2-tert-butyl-5-methyl-phenylsulfanyl)-4-hydroxy-6-[2-(4-hydroxy-phenyl)-ethyl]-6-isopropyl-5,6-dihydro-pyran-2-one",CHEMBL819613,A,,,Cytochrome P450 2C9,Inhibition of cytochrome P450 2C9 at 1 uM,Inhibition,=,93.2,%,Cc1cc(SC2=C(O)O[C@](CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1N,CHEMBL1132961,"5,6-Dihydropyran-2-ones possessing various sulfonyl functionalities: potent nonpeptidic inhibitors of HIV protease.",J. Med. Chem.,2000.0,43,5,843,858,10.1021/jm990281p,10715152.0,
395200,CHEMBL2114404,"3-(4-Amino-2-tert-butyl-5-methyl-phenylsulfanyl)-4-hydroxy-6-[2-(4-hydroxy-phenyl)-ethyl]-6-isopropyl-5,6-dihydro-pyran-2-one",CHEMBL819612,A,,,Cytochrome P450 2C9,Inhibition of cytochrome P450 at 10 uM,Inhibition,=,75.5,%,Cc1cc(SC2=C(O)O[C@](CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1N,CHEMBL1132961,"5,6-Dihydropyran-2-ones possessing various sulfonyl functionalities: potent nonpeptidic inhibitors of HIV protease.",J. Med. Chem.,2000.0,43,5,843,858,10.1021/jm990281p,10715152.0,
395201,CHEMBL2114404,"3-(4-Amino-2-tert-butyl-5-methyl-phenylsulfanyl)-4-hydroxy-6-[2-(4-hydroxy-phenyl)-ethyl]-6-isopropyl-5,6-dihydro-pyran-2-one",CHEMBL819611,A,,,Cytochrome P450 2C9,Inhibition of cytochrome P450 2C9 at 100 uM,Inhibition,=,21.6,%,Cc1cc(SC2=C(O)O[C@](CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1N,CHEMBL1132961,"5,6-Dihydropyran-2-ones possessing various sulfonyl functionalities: potent nonpeptidic inhibitors of HIV protease.",J. Med. Chem.,2000.0,43,5,843,858,10.1021/jm990281p,10715152.0,
407141,CHEMBL115,"(S)-1-[(2S,4R)-2-Hydroxy-4-((1S,2R)-2-hydroxy-indan-1-ylcarbamoyl)-5-phenyl-pentyl]-4-pyridin-3-ylmethyl-piperazine-2-carboxylic acid tert-butylamide",CHEMBL819613,A,,,Cytochrome P450 2C9,Inhibition of cytochrome P450 2C9 at 1 uM,Inhibition,=,93.0,%,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CHEMBL1132961,"5,6-Dihydropyran-2-ones possessing various sulfonyl functionalities: potent nonpeptidic inhibitors of HIV protease.",J. Med. Chem.,2000.0,43,5,843,858,10.1021/jm990281p,10715152.0,
407142,CHEMBL115,"(S)-1-[(2S,4R)-2-Hydroxy-4-((1S,2R)-2-hydroxy-indan-1-ylcarbamoyl)-5-phenyl-pentyl]-4-pyridin-3-ylmethyl-piperazine-2-carboxylic acid tert-butylamide",CHEMBL819612,A,,,Cytochrome P450 2C9,Inhibition of cytochrome P450 at 10 uM,Inhibition,=,89.0,%,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CHEMBL1132961,"5,6-Dihydropyran-2-ones possessing various sulfonyl functionalities: potent nonpeptidic inhibitors of HIV protease.",J. Med. Chem.,2000.0,43,5,843,858,10.1021/jm990281p,10715152.0,
407143,CHEMBL115,"(S)-1-[(2S,4R)-2-Hydroxy-4-((1S,2R)-2-hydroxy-indan-1-ylcarbamoyl)-5-phenyl-pentyl]-4-pyridin-3-ylmethyl-piperazine-2-carboxylic acid tert-butylamide",CHEMBL819611,A,,,Cytochrome P450 2C9,Inhibition of cytochrome P450 2C9 at 100 uM,Inhibition,=,68.0,%,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CHEMBL1132961,"5,6-Dihydropyran-2-ones possessing various sulfonyl functionalities: potent nonpeptidic inhibitors of HIV protease.",J. Med. Chem.,2000.0,43,5,843,858,10.1021/jm990281p,10715152.0,
408278,CHEMBL168839,"4-Cyano-benzenesulfonic acid 5-tert-butyl-4-{4-hydroxy-6-[2-(4-hydroxy-phenyl)-ethyl]-6-isopropyl-2-oxo-5,6-dihydro-2H-pyran-3-ylsulfanyl}-2-methyl-phenyl ester (0.40H2O)",CHEMBL819613,A,,,Cytochrome P450 2C9,Inhibition of cytochrome P450 2C9 at 1 uM,Inhibition,=,83.5,%,Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1ccc(C#N)cc1,CHEMBL1132961,"5,6-Dihydropyran-2-ones possessing various sulfonyl functionalities: potent nonpeptidic inhibitors of HIV protease.",J. Med. Chem.,2000.0,43,5,843,858,10.1021/jm990281p,10715152.0,
408279,CHEMBL168839,"4-Cyano-benzenesulfonic acid 5-tert-butyl-4-{4-hydroxy-6-[2-(4-hydroxy-phenyl)-ethyl]-6-isopropyl-2-oxo-5,6-dihydro-2H-pyran-3-ylsulfanyl}-2-methyl-phenyl ester (0.40H2O)",CHEMBL819612,A,,,Cytochrome P450 2C9,Inhibition of cytochrome P450 at 10 uM,Inhibition,=,18.1,%,Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1ccc(C#N)cc1,CHEMBL1132961,"5,6-Dihydropyran-2-ones possessing various sulfonyl functionalities: potent nonpeptidic inhibitors of HIV protease.",J. Med. Chem.,2000.0,43,5,843,858,10.1021/jm990281p,10715152.0,
633525,CHEMBL113060,2-Chloro-4-[5-(4-fluoro-phenyl)-2-methylsulfanyl-3H-imidazol-4-yl]-pyridine,CHEMBL661222,A,,Homo sapiens,Cytochrome P450 2C9,Inhibition of Cytochrome P450 2C9 at 10 uM,Inhibition,=,65.0,%,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Cl)c2)[nH]1,CHEMBL1145851,Novel substituted pyridinyl imidazoles as potent anticytokine agents with low activity against hepatic cytochrome P450 enzymes.,J. Med. Chem.,2003.0,46,15,3230,3244,10.1021/jm030766k,12852754.0,
